,0,1,name
0,Price,595.2,MAXL
1,Mkt Cap,158615.0,MAXL
2,Vol,88.0,MAXL
3,P/E,-992.6,MAXL
4,P/CF,1726.0,MAXL
5,EPS (TTM),-0.6,MAXL
6,% ch,8.3,MAXL
7,No. of shares,266.49,MAXL
8,% ch week,14.3,MAXL
9,% ch 1-mth,5.9,MAXL
10,% ch 12-mth,32.7,MAXL
11,52 week H/L,611.1/279.8,MAXL
12,52weekHigh,611.1,MAXL
13,52weekLow,279.8,MAXL
14,Indian Promoters,40.5%,MAXL
15,Foreign collaborators,0.0%,MAXL
16,Indian inst/Mut Fund,23.4%,MAXL
17,FIIs,27.4%,MAXL
18,ADR/GDR,0.0%,MAXL
19,Free float,8.7%,MAXL
20,Shareholders,33801,MAXL
21,Pledged promoter(s) holding,62.8%,MAXL
22,REGD OFF,"Bhai Mohan Singh Nagar, Tehsil Balachaur, Nawanshahr, Punjab-144 533",MAXL
23,E-MAIL,vkrishnan@maxindia.com,MAXL
24,TELEPHONE,(011) 4259 8000,MAXL
25,SECTOR,DIVERSIFIED,MAXL
26,TR AGENT,"Mas Services, T-34, 2nd Flr, Okhla Indl Area Phase II, New Delhi-20",MAXL
27,AUDITOR,S. R. Batliboi & Co.,MAXL
28,CHM, Analjit Singh (MD),MAXL
29,COMP SEC, V. Krishnan,MAXL
30,YEAR OF INC, 1982,MAXL
31,BSE CODE, 500271,MAXL
32,FV (Rs), 2,MAXL
33,DIV YIELD (%), -,MAXL
