,0,1,name
0,Price,129.1,IRB
1,Mkt Cap,42891.0,IRB
2,Vol,29.4,IRB
3,P/E,5.8,IRB
4,P/CF,3.1,IRB
5,EPS (TTM),22.2,IRB
6,% ch,3.5,IRB
7,No. of shares,332.36,IRB
8,% ch week,8.5,IRB
9,% ch 1-mth,5.3,IRB
10,% ch 12-mth,59.8,IRB
11,52 week H/L,138.8/46.0,IRB
12,52weekHigh,138.8,IRB
13,52weekLow,46.0,IRB
14,Indian Promoters,61.1%,IRB
15,Foreign collaborators,0.0%,IRB
16,Indian inst/Mut Fund,6.0%,IRB
17,FIIs,23.7%,IRB
18,ADR/GDR,0.0%,IRB
19,Free float,9.2%,IRB
20,Shareholders,88684,IRB
21,Pledged promoter(s) holding,0.7%,IRB
22,REGD OFF,"IRB Complex, Chandivli Farm, Chandivli Village, Andheri (E), Mumbai-72",IRB
23,E-MAIL,grievances@irb.co.in,IRB
24,TELEPHONE,(022) 6640 4220,IRB
25,SECTOR,CONSTRUCTION,IRB
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",IRB
27,AUDITOR,S. R. Batliboi & Co.,IRB
28,CHM, Virendra D. Mhaiskar (MD),IRB
29,COMP SEC, Mehul N. Patel,IRB
30,YEAR OF INC, 1998,IRB
31,BSE CODE, 532947,IRB
32,FV (Rs), 10,IRB
33,DIV YIELD (%), 2.0,IRB
