,0,1,name
0,Price,47.8,PRSE
1,Mkt Cap,1264.0,PRSE
2,Vol,5.8,PRSE
3,P/E,7.4,PRSE
4,P/CF,9.4,PRSE
5,EPS (TTM),6.5,PRSE
6,% ch,-1.6,PRSE
7,No. of shares,26.47,PRSE
8,% ch week,4.8,PRSE
9,% ch 1-mth,-5.1,PRSE
10,% ch 12-mth,38.6,PRSE
11,52 week H/L,53.2/24.4,PRSE
12,52weekHigh,53.2,PRSE
13,52weekLow,24.4,PRSE
14,Indian Promoters,0.0%,PRSE
15,Foreign collaborators,0.0%,PRSE
16,Indian inst/Mut Fund,0.2%,PRSE
17,FIIs,1.9%,PRSE
18,ADR/GDR,0.0%,PRSE
19,Free float,98.0%,PRSE
20,Shareholders,25229,PRSE
21,Pledged promoter(s) holding,0.0%,PRSE
22,REGD OFF,"1109/1110, Maker Chambers V, Nariman Point, Mumbai 400021",PRSE
23,E-MAIL,prime@primesec.com,PRSE
24,TELEPHONE,(022) 6184 2525,PRSE
25,SECTOR,MISCELLANEOUS,PRSE
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",PRSE
27,AUDITOR,Gandhi & Assoc.,PRSE
28,CHM, Pradip Dubhashi,PRSE
29,COMP SEC, Ajay Shah,PRSE
30,YEAR OF INC, 1982,PRSE
31,BSE CODE, 500337,PRSE
32,FV (Rs), 5,PRSE
33,DIV YIELD (%), -,PRSE
