,0,1,name
0,Price,239.0,CNPR
1,Mkt Cap,3745.0,CNPR
2,Vol,1.5,CNPR
3,P/E,14.1,CNPR
4,P/CF,10.0,CNPR
5,EPS (TTM),17.0,CNPR
6,% ch,-2.5,CNPR
7,No. of shares,15.67,CNPR
8,% ch week,12.2,CNPR
9,% ch 1-mth,9.1,CNPR
10,% ch 12-mth,-5.3,CNPR
11,52 week H/L,317.8/150.9,CNPR
12,52weekHigh,317.8,CNPR
13,52weekLow,150.9,CNPR
14,Indian Promoters,55.8%,CNPR
15,Foreign collaborators,0.0%,CNPR
16,Indian inst/Mut Fund,1.5%,CNPR
17,FIIs,7.6%,CNPR
18,ADR/GDR,0.0%,CNPR
19,Free float,35.1%,CNPR
20,Shareholders,8255,CNPR
21,Pledged promoter(s) holding,0.0%,CNPR
22,REGD OFF,"C-106, HIND SAURASHTRA IND. ESTATE, ANDHERI (EAST), MUMBAI-59",CNPR
23,E-MAIL,companysecretary@controlprint.com,CNPR
24,TELEPHONE,,CNPR
25,SECTOR,PACKAGING,CNPR
26,TR AGENT,Sharepro Services Pvt Ltd,CNPR
27,CHM, Mr Basant Kabra,CNPR
28,COMP SEC, Mr Shama Pawar,CNPR
29,YEAR OF INC,,CNPR
30,BSE CODE, 522295,CNPR
31,FV (Rs), 10,CNPR
32,DIV YIELD (%), 2.8,CNPR
