,0,1,name
0,Price,29.3,IDFC
1,Mkt Cap,46668.0,IDFC
2,Vol,13.2,IDFC
3,P/E,162.4,IDFC
4,P/CF,-103.5,IDFC
5,EPS (TTM),0.2,IDFC
6,% ch,0.9,IDFC
7,No. of shares,1592.76,IDFC
8,% ch week,9.3,IDFC
9,% ch 1-mth,53.0,IDFC
10,% ch 12-mth,-13.8,IDFC
11,52 week H/L,40.5/13.4,IDFC
12,52weekHigh,40.5,IDFC
13,52weekLow,13.4,IDFC
14,Indian Promoters,0.0%,IDFC
15,Foreign collaborators,0.0%,IDFC
16,Indian inst/Mut Fund,30.0%,IDFC
17,FIIs,52.9%,IDFC
18,ADR/GDR,0.0%,IDFC
19,Free float,17.2%,IDFC
20,Shareholders,323308,IDFC
21,Pledged promoter(s) holding,0.0%,IDFC
22,REGD OFF,"KRM Tower, 8th Floor, No. 1, Harrington Road, Chetpet, Chennai - 600 031",IDFC
23,E-MAIL,mahendra.shah@idfc.com,IDFC
24,TELEPHONE,(022) 4222 2016,IDFC
25,SECTOR,INVESTMENT & FINANCE,IDFC
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",IDFC
27,AUDITOR,Deloitte Haskins & Sells,IDFC
28,CHM, M. S. Raghavan,IDFC
29,COMP SEC, Mahendra N. Shah,IDFC
30,YEAR OF INC, 1997,IDFC
31,BSE CODE, 532659,IDFC
32,FV (Rs), 10,IDFC
33,DIV YIELD (%), -,IDFC
