,0,1,name
0,Price,384.2,ICBK
1,Mkt Cap,2487748.0,ICBK
2,Vol,99.5,ICBK
3,P/E,28.9,ICBK
4,P/CF,3.6,ICBK
5,EPS (TTM),13.3,ICBK
6,% ch,1.0,ICBK
7,No. of shares,6475.98,ICBK
8,% ch week,6.6,ICBK
9,% ch 1-mth,0.6,ICBK
10,% ch 12-mth,-6.7,ICBK
11,52 week H/L,552.4/269.0,ICBK
12,52weekHigh,552.4,ICBK
13,52weekLow,269.0,ICBK
14,Indian Promoters,0.0%,ICBK
15,Foreign collaborators,0.0%,ICBK
16,Indian inst/Mut Fund,23.1%,ICBK
17,FIIs,40.0%,ICBK
18,ADR/GDR,29.2%,ICBK
19,Free float,7.8%,ICBK
20,Shareholders,585463,ICBK
21,Pledged promoter(s) holding,0.0%,ICBK
22,REGD OFF,"Landmark, Race Course Circle, Vadodara - 390 007",ICBK
23,E-MAIL,investor@icicibank.com,ICBK
24,TELEPHONE,(022) 2653 8900,ICBK
25,SECTOR,BANKING,ICBK
26,TR AGENT,"3i Infotech Ltd, Tower 5, 3rd Floor, Vashi, Navi Mumbai - 400 703",ICBK
27,AUDITOR,S. R. Batliboi & Co.,ICBK
28,CHM, K. V. Kamath,ICBK
29,COMP SEC, P. Sanker,ICBK
30,YEAR OF INC, 1995,ICBK
31,BSE CODE, 532174,ICBK
32,FV (Rs), 2,ICBK
33,DIV YIELD (%), 0.3,ICBK
