,0,1,name
0,Price,1129.2,VNOR
1,Mkt Cap,116056.0,VNOR
2,Vol,187.3,VNOR
3,P/E,35.8,VNOR
4,P/CF,37.5,VNOR
5,EPS (TTM),31.5,VNOR
6,% ch,7.2,VNOR
7,No. of shares,102.78,VNOR
8,% ch week,13.2,VNOR
9,% ch 1-mth,15.8,VNOR
10,% ch 12-mth,8.8,VNOR
11,52 week H/L,"1,255.5/651.0",VNOR
12,52weekHigh,"1,255.5",VNOR
13,52weekLow,651.0,VNOR
14,Indian Promoters,72.3%,VNOR
15,Foreign collaborators,0.0%,VNOR
16,Indian inst/Mut Fund,6.9%,VNOR
17,FIIs,1.0%,VNOR
18,ADR/GDR,0.0%,VNOR
19,Free float,19.9%,VNOR
20,Shareholders,14594,VNOR
21,Pledged promoter(s) holding,0.0%,VNOR
22,REGD OFF,"B-12 & B-1, MIDC Industrial Area, Mahad, Raigad, Maharashtra",VNOR
23,E-MAIL,shares@vinatiorganics.com,VNOR
24,TELEPHONE,02145-232013,VNOR
25,SECTOR,CHEMICALS & PESTICIDES,VNOR
26,TR AGENT,Sharex Dynamic Pvt Ltd,VNOR
27,COMP SEC, G.S. Singhi,VNOR
28,YEAR OF INC, 1989,VNOR
29,BSE CODE, 524200,VNOR
30,FV (Rs), 2,VNOR
31,DIV YIELD (%), 0.3,VNOR
