,0,1,name
0,Price,1139.3,ESCR
1,Mkt Cap,139655.0,ESCR
2,Vol,3.5,ESCR
3,P/E,28.9,ESCR
4,P/CF,24.7,ESCR
5,EPS (TTM),39.4,ESCR
6,% ch,0.9,ESCR
7,No. of shares,122.58,ESCR
8,% ch week,-1.2,ESCR
9,% ch 1-mth,1.0,ESCR
10,% ch 12-mth,139.9,ESCR
11,52 week H/L,"1,210.7/450.1",ESCR
12,52weekHigh,"1,210.7",ESCR
13,52weekLow,450.1,ESCR
14,Indian Promoters,42.0%,ESCR
15,Foreign collaborators,0.0%,ESCR
16,Indian inst/Mut Fund,4.0%,ESCR
17,FIIs,5.2%,ESCR
18,ADR/GDR,0.0%,ESCR
19,Free float,48.8%,ESCR
20,Shareholders,95224,ESCR
21,Pledged promoter(s) holding,0.0%,ESCR
22,REGD OFF,"SCO-232, First Floor, Sector-20, Panchkula, Haryana - 134 109",ESCR
23,E-MAIL,corpsect@ndb.vsnl.net.in,ESCR
24,TELEPHONE,(0172) 441 6938,ESCR
25,SECTOR,AUTOMOBILES/VEHICLES,ESCR
26,TR AGENT,IN-HOUSE,ESCR
27,AUDITOR,S. N. Dhawan & Co.,ESCR
28,CHM, Rajan Nanda (MD),ESCR
29,COMP SEC, G. B. Mathur (Associate V. P.),ESCR
30,YEAR OF INC, 1944,ESCR
31,BSE CODE, 500495,ESCR
32,FV (Rs), 10,ESCR
33,DIV YIELD (%), 0.2,ESCR
