,0,1,name
0,Price,4825.1,PFIZ
1,Mkt Cap,220748.0,PFIZ
2,Vol,5.4,PFIZ
3,P/E,43.4,PFIZ
4,P/CF,44.1,PFIZ
5,EPS (TTM),111.3,PFIZ
6,% ch,4.9,PFIZ
7,No. of shares,45.75,PFIZ
8,% ch week,6.2,PFIZ
9,% ch 1-mth,11.1,PFIZ
10,% ch 12-mth,66.3,PFIZ
11,52 week H/L,"5,173.0/2,860.0",PFIZ
12,52weekHigh,"5,173.0",PFIZ
13,52weekLow,"2,860.0",PFIZ
14,Indian Promoters,0.0%,PFIZ
15,Foreign collaborators,63.9%,PFIZ
16,Indian inst/Mut Fund,7.5%,PFIZ
17,FIIs,4.9%,PFIZ
18,ADR/GDR,0.0%,PFIZ
19,Free float,23.7%,PFIZ
20,Shareholders,85207,PFIZ
21,Pledged promoter(s) holding,0.0%,PFIZ
22,REGD OFF,"Pfizer Centre, Patel Estate, S. V. Road, Jogeshwari (W), Mumbai - 400 102",PFIZ
23,E-MAIL,prajeet.nair@pfizer.com,PFIZ
24,TELEPHONE,(022) 6693 2000,PFIZ
25,SECTOR,PHARMACEUTICALS,PFIZ
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",PFIZ
27,AUDITOR,B S R & Co. LLP,PFIZ
28,CHM, R. A. Shah,PFIZ
29,COMP SEC, Prajeet Nair,PFIZ
30,YEAR OF INC, 1950,PFIZ
31,BSE CODE, 500680,PFIZ
32,FV (Rs), 10,PFIZ
33,DIV YIELD (%), 0.5,PFIZ
