,0,1,name
0,Price,6.7,BLKS
1,Mkt Cap,1381.0,BLKS
2,Vol,1.2,BLKS
3,P/E,-5.7,BLKS
4,P/CF,3.7,BLKS
5,EPS (TTM),-1.2,BLKS
6,% ch,5.0,BLKS
7,No. of shares,205.44,BLKS
8,% ch week,12.0,BLKS
9,% ch 1-mth,14.7,BLKS
10,% ch 12-mth,-29.3,BLKS
11,52 week H/L,12.1/3.4,BLKS
12,52weekHigh,12.1,BLKS
13,52weekLow,3.4,BLKS
14,Indian Promoters,71.1%,BLKS
15,Foreign collaborators,0.0%,BLKS
16,Indian inst/Mut Fund,3.4%,BLKS
17,FIIs,6.1%,BLKS
18,ADR/GDR,0.0%,BLKS
19,Free float,19.3%,BLKS
20,Shareholders,25985,BLKS
21,Pledged promoter(s) holding,60.5%,BLKS
22,REGD OFF,"409, 4th Floor, DLF Tower- A, Jasola, New Delhi- 110 025.",BLKS
23,E-MAIL,pushpak@blkashyap.com,BLKS
24,TELEPHONE,(011) 4050 0300,BLKS
25,SECTOR,CONSTRUCTION,BLKS
26,TR AGENT,"Link Intime India, A-40, 2nd Flr., Naraina Indl. Area, Phase II, New Delhi-28",BLKS
27,AUDITOR,Sood Brij & Assoc.,BLKS
28,CHM, Vinod Kashyap,BLKS
29,COMP SEC, Pushpak Kumar,BLKS
30,YEAR OF INC, 1989,BLKS
31,BSE CODE, 532719,BLKS
32,FV (Rs), 5,BLKS
33,DIV YIELD (%), -,BLKS
