,0,1,name
0,Price,68.3,OREX
1,Mkt Cap,955.0,OREX
2,Vol,0.0,OREX
3,P/E,4.1,OREX
4,P/CF,3.0,OREX
5,EPS (TTM),16.5,OREX
6,% ch,-5.9,OREX
7,No. of shares,13.99,OREX
8,% ch week,0.4,OREX
9,% ch 1-mth,13.8,OREX
10,% ch 12-mth,-30.4,OREX
11,52 week H/L,118.9/47.0,OREX
12,52weekHigh,118.9,OREX
13,52weekLow,47.0,OREX
14,Indian Promoters,53.1%,OREX
15,Foreign collaborators,0.0%,OREX
16,Indian inst/Mut Fund,1.8%,OREX
17,FIIs,0.0%,OREX
18,ADR/GDR,0.0%,OREX
19,Free float,45.1%,OREX
20,Shareholders,6842,OREX
21,Pledged promoter(s) holding,0.0%,OREX
22,REGD OFF,"E27-29, Adi Marzaban Street, Ballard Estate, Mumbai",OREX
23,E-MAIL,investors@orbitexports.com,OREX
24,TELEPHONE,,OREX
25,SECTOR,TEXTILES,OREX
26,TR AGENT,Link intime India Pvt Ltd,OREX
27,AUDITOR,M/s. Krishna R. Moondra & Associates,OREX
28,CHM, Mr Pankaj Seth,OREX
29,COMP SEC, Ms. Neha Poddar,OREX
30,YEAR OF INC, 1983,OREX
31,BSE CODE, 512626,OREX
32,FV (Rs), 10,OREX
33,DIV YIELD (%), -,OREX
