,0,1,name
0,Price,20.0,MMTC
1,Mkt Cap,20000.0,MMTC
2,Vol,183.6,MMTC
3,P/E,35.7,MMTC
4,P/CF,22.4,MMTC
5,EPS (TTM),0.6,MMTC
6,% ch,-3.4,MMTC
7,No. of shares,1000.00,MMTC
8,% ch week,5.3,MMTC
9,% ch 1-mth,5.8,MMTC
10,% ch 12-mth,10.2,MMTC
11,52 week H/L,26.5/9.9,MMTC
12,52weekHigh,26.5,MMTC
13,52weekLow,9.9,MMTC
14,Indian Promoters,89.9%,MMTC
15,Foreign collaborators,0.0%,MMTC
16,Indian inst/Mut Fund,6.1%,MMTC
17,FIIs,0.2%,MMTC
18,ADR/GDR,0.0%,MMTC
19,Free float,3.8%,MMTC
20,Shareholders,94547,MMTC
21,Pledged promoter(s) holding,0.0%,MMTC
22,REGD OFF,"Scope Complex, Core1, 7, Lodi Road, Institutional Area, New Delhi-110 003",MMTC
23,E-MAIL,mbalwani@mmtclimited.com,MMTC
24,TELEPHONE,(011) 2436 1889,MMTC
25,SECTOR,MINING/MINERALS,MMTC
26,TR AGENT,"MCS Ltd, F-65, Okhla Industrial Area, Phase-I, New Delhi-20",MMTC
27,AUDITOR,Jain Kapila Assoc.,MMTC
28,CHM, Vijay Laxmi Joshi (MD),MMTC
29,COMP SEC, Manohar Balwani,MMTC
30,YEAR OF INC, 1963,MMTC
31,BSE CODE, 513377,MMTC
32,FV (Rs), 1,MMTC
33,DIV YIELD (%), 2.3,MMTC
