,0,1,name
0,Price,51.5,TWL
1,Mkt Cap,5160.0,TWL
2,Vol,161.2,TWL
3,P/E,-9.0,TWL
4,P/CF,37.8,TWL
5,EPS (TTM),-5.7,TWL
6,% ch,5.0,TWL
7,No. of shares,100.30,TWL
8,% ch week,17.2,TWL
9,% ch 1-mth,22.9,TWL
10,% ch 12-mth,31.9,TWL
11,52 week H/L,61.5/20.5,TWL
12,52weekHigh,61.5,TWL
13,52weekLow,20.5,TWL
14,Indian Promoters,53.1%,TWL
15,Foreign collaborators,0.0%,TWL
16,Indian inst/Mut Fund,2.9%,TWL
17,FIIs,4.7%,TWL
18,ADR/GDR,0.0%,TWL
19,Free float,39.3%,TWL
20,Shareholders,23476,TWL
21,Pledged promoter(s) holding,0.0%,TWL
22,REGD OFF,"1-B, Aster Court, 3 Loudon Street, Kolkata, West Bengal-700 017",TWL
23,E-MAIL,"investors@titagarh.biz, corp@titagarh.biz",TWL
24,TELEPHONE,(033) 4019 0800,TWL
25,SECTOR,ENGINEERING,TWL
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",TWL
27,AUDITOR,S. R. Batliboi & Co.,TWL
28,CHM, J. P. Chowdhary,TWL
29,COMP SEC, Dinesh Arya,TWL
30,YEAR OF INC, 1997,TWL
31,BSE CODE, 532966,TWL
32,FV (Rs), 2,TWL
33,DIV YIELD (%), 0.7,TWL
