,0,1,name
0,Price,34.1,ALTE
1,Mkt Cap,47322.0,ALTE
2,Vol,1685.7,ALTE
3,P/E,0.8,ALTE
4,P/CF,1.8,ALTE
5,EPS (TTM),41.0,ALTE
6,% ch,4.9,ALTE
7,No. of shares,1387.73,ALTE
8,% ch week,-4.5,ALTE
9,% ch 1-mth,18.8,ALTE
10,% ch 12-mth,1206.5,ALTE
11,52 week H/L,61.4/1.4,ALTE
12,52weekHigh,61.4,ALTE
13,52weekLow,1.4,ALTE
14,Indian Promoters,38.2%,ALTE
15,Foreign collaborators,0.0%,ALTE
16,Indian inst/Mut Fund,8.2%,ALTE
17,FIIs,6.2%,ALTE
18,ADR/GDR,0.0%,ALTE
19,Free float,47.4%,ALTE
20,Shareholders,222399,ALTE
21,Pledged promoter(s) holding,99.8%,ALTE
22,REGD OFF,"17/5/1 & 521/1, Rakholi / Saily, Silvassa - 396 230",ALTE
23,E-MAIL,gopal@alokind.com,ALTE
24,TELEPHONE,(022) 2499 6200,ALTE
25,SECTOR,TEXTILES,ALTE
26,TR AGENT,"Intime Spectrum, C-13, Pannalal Silk Mills Cmpound, LBS Marg, Mumbai - 78",ALTE
27,AUDITOR,Deloitte Haskins & Sells,ALTE
28,CHM, Ashok B. Jiwrajka,ALTE
29,COMP SEC, K. H. Gopal,ALTE
30,YEAR OF INC, 1985,ALTE
31,BSE CODE, 521070,ALTE
32,FV (Rs), 10,ALTE
33,DIV YIELD (%), -,ALTE
