,0,1,name
0,Price,1158.0,INDIG
1,Mkt Cap,445123.0,INDIG
2,Vol,139.8,INDIG
3,P/E,36.6,INDIG
4,P/CF,48.6,INDIG
5,EPS (TTM),31.6,INDIG
6,% ch,-1.4,INDIG
7,No. of shares,384.41,INDIG
8,% ch week,0.8,INDIG
9,% ch 1-mth,22.1,INDIG
10,% ch 12-mth,-31.1,INDIG
11,52 week H/L,"1,911.0/765.1",INDIG
12,52weekHigh,"1,911.0",INDIG
13,52weekLow,765.1,INDIG
14,Indian Promoters,74.9%,INDIG
15,Foreign collaborators,0.0%,INDIG
16,Indian inst/Mut Fund,25.1%,INDIG
17,FIIs,0.1%,INDIG
18,ADR/GDR,0.0%,INDIG
19,Free float,25.1%,INDIG
20,Shareholders,82033,INDIG
21,Pledged promoter(s) holding,0.0%,INDIG
22,REGD OFF,"DLF Corporate park, block 2B, DLF city, phase-3, Gurgaon-122002, Haryana, India",INDIG
23,E-MAIL,contact@interglobe.com,INDIG
24,TELEPHONE,,INDIG
25,SECTOR,AIR & RAILWAY,INDIG
26,TR AGENT,,INDIG
27,CHM, Kapil Bhatia,INDIG
28,YEAR OF INC, 2006,INDIG
29,BSE CODE, 539448,INDIG
30,FV (Rs), 10,INDIG
31,DIV YIELD (%), 0.4,INDIG
