,0,1,name
0,Price,48.5,WLSP
1,Mkt Cap,48644.0,WLSP
2,Vol,73.3,WLSP
3,P/E,9.3,WLSP
4,P/CF,7.3,WLSP
5,EPS (TTM),5.2,WLSP
6,% ch,-1.2,WLSP
7,No. of shares,1004.00,WLSP
8,% ch week,2.4,WLSP
9,% ch 1-mth,33.8,WLSP
10,% ch 12-mth,-1.0,WLSP
11,52 week H/L,59.3/18.3,WLSP
12,52weekHigh,59.3,WLSP
13,52weekLow,18.3,WLSP
14,Indian Promoters,73.3%,WLSP
15,Foreign collaborators,0.0%,WLSP
16,Indian inst/Mut Fund,6.1%,WLSP
17,FIIs,1.7%,WLSP
18,ADR/GDR,0.0%,WLSP
19,Free float,18.9%,WLSP
20,Shareholders,38598,WLSP
21,Pledged promoter(s) holding,0.0%,WLSP
22,REGD OFF,"Welspun City, Tal. Anjar, Dist. Kutch, Gujarat - 370 110",WLSP
23,E-MAIL,companysecretary_wil@welspun.com,WLSP
24,TELEPHONE,(022) 2490 8000,WLSP
25,SECTOR,TEXTILES,WLSP
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Cmpd., LBS Marg, Mumbai-78",WLSP
27,AUDITOR,Price Waterhouse & Co.,WLSP
28,CHM, B. K. Goenka (MD),WLSP
29,COMP SEC, Shashikant Thorat,WLSP
30,YEAR OF INC, 1985,WLSP
31,BSE CODE, 514162,WLSP
32,FV (Rs), 1,WLSP
33,DIV YIELD (%), 0.1,WLSP
