,0,1,name
0,Price,1109.1,PERSL
1,Mkt Cap,88724.0,PERSL
2,Vol,0.5,PERSL
3,P/E,26.1,PERSL
4,P/CF,18.4,PERSL
5,EPS (TTM),42.5,PERSL
6,% ch,1.7,PERSL
7,No. of shares,80.00,PERSL
8,% ch week,12.5,PERSL
9,% ch 1-mth,43.4,PERSL
10,% ch 12-mth,108.8,PERSL
11,52 week H/L,"1,128.4/420.0",PERSL
12,52weekHigh,"1,128.4",PERSL
13,52weekLow,420.0,PERSL
14,Indian Promoters,39.0%,PERSL
15,Foreign collaborators,0.0%,PERSL
16,Indian inst/Mut Fund,9.8%,PERSL
17,FIIs,27.4%,PERSL
18,ADR/GDR,0.0%,PERSL
19,Free float,23.9%,PERSL
20,Shareholders,22854,PERSL
21,Pledged promoter(s) holding,0.0%,PERSL
22,REGD OFF,"Bhageerath, 402, Senapati Bapat Road,Pune - 411 016",PERSL
23,E-MAIL,investors@persistent.co.in,PERSL
24,TELEPHONE,(020) 6703 0000,PERSL
25,SECTOR,SOFTWARE,PERSL
26,TR AGENT,"Link Intime India, 202, 2nd Flr, Akshay Complex, Off D. P. Rd ,Pune - 001",PERSL
27,AUDITOR,S. R. Batliboi & Co.,PERSL
28,CHM, Anand Deshpande (MD),PERSL
29,COMP SEC, Amit Atre,PERSL
30,YEAR OF INC, 1990,PERSL
31,BSE CODE, 533179,PERSL
32,FV (Rs), 10,PERSL
33,DIV YIELD (%), 0.9,PERSL
