,0,1,name
0,Price,2243.8,WHRP
1,Mkt Cap,284671.0,WHRP
2,Vol,8.8,WHRP
3,P/E,94.3,WHRP
4,P/CF,54.6,WHRP
5,EPS (TTM),23.8,WHRP
6,% ch,3.4,WHRP
7,No. of shares,126.87,WHRP
8,% ch week,12.7,WHRP
9,% ch 1-mth,0.8,WHRP
10,% ch 12-mth,46.1,WHRP
11,52 week H/L,"2,570.0/1,343.0",WHRP
12,52weekHigh,"2,570.0",WHRP
13,52weekLow,"1,343.0",WHRP
14,Indian Promoters,0.0%,WHRP
15,Foreign collaborators,75.0%,WHRP
16,Indian inst/Mut Fund,5.8%,WHRP
17,FIIs,8.5%,WHRP
18,ADR/GDR,0.0%,WHRP
19,Free float,10.8%,WHRP
20,Shareholders,37308,WHRP
21,Pledged promoter(s) holding,0.0%,WHRP
22,REGD OFF,"Plot No. A-4, MIDC, Ranjangaon, Taluka Shirur, Dist. Pune - 412 220",WHRP
23,E-MAIL,ravi_kumar_sabharwal@whirlpool.com,WHRP
24,TELEPHONE,(02138) 660 100,WHRP
25,SECTOR,CONSUMER DURABLES,WHRP
26,TR AGENT,"Link Intime India, A-40, Naraina Industrial Area, Phase II, New Delhi-28",WHRP
27,AUDITOR,S. R. Batliboi & Co.,WHRP
28,CHM, Arvind Uppal (MD),WHRP
29,COMP SEC, Ravi Sabharwal,WHRP
30,YEAR OF INC, 1960,WHRP
31,BSE CODE, 500238,WHRP
32,FV (Rs), 10,WHRP
33,DIV YIELD (%), 0.2,WHRP
