,0,1,name
0,Price,13.3,MTEL
1,Mkt Cap,529.0,MTEL
2,Vol,10.3,MTEL
3,P/E,3.0,MTEL
4,P/CF,1.9,MTEL
5,EPS (TTM),4.5,MTEL
6,% ch,-0.8,MTEL
7,No. of shares,39.79,MTEL
8,% ch week,-5.0,MTEL
9,% ch 1-mth,0.7,MTEL
10,% ch 12-mth,-60.6,MTEL
11,52 week H/L,35.3/6.2,MTEL
12,52weekHigh,35.3,MTEL
13,52weekLow,6.2,MTEL
14,Indian Promoters,42.8%,MTEL
15,Foreign collaborators,0.0%,MTEL
16,Indian inst/Mut Fund,1.7%,MTEL
17,FIIs,23.0%,MTEL
18,ADR/GDR,0.0%,MTEL
19,Free float,32.5%,MTEL
20,Shareholders,11598,MTEL
21,Pledged promoter(s) holding,5.1%,MTEL
22,REGD OFF,"220, Flying Colors, 2nd Flr, L.B.S. Cross Rd, Mulund (W),Mumbai - 400 080",MTEL
23,E-MAIL,info@mteducare.com,MTEL
24,TELEPHONE,(022) 2593 7700,MTEL
25,SECTOR,MEDIA,MTEL
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",MTEL
27,AUDITOR,Shaparia & Mehta,MTEL
28,CHM, Mahesh Shetty,MTEL
29,COMP SEC, Ashwin M Patel,MTEL
30,YEAR OF INC, 2006,MTEL
31,BSE CODE, 534312,MTEL
32,FV (Rs), 10,MTEL
33,DIV YIELD (%), -,MTEL
